 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,13,28,19,18,20,29,9
01:00 - 02:00,9,19,10,12,16,21,5
02:00 - 03:00,10,12,19,16,15,11,10
03:00 - 04:00,11,13,8,13,12,12,6
04:00 - 05:00,10,8,14,17,14,20,5
05:00 - 06:00,19,12,13,13,7,10,6
06:00 - 07:00,11,17,10,14,25,10,5
07:00 - 08:00,4,7,8,14,13,4,2
08:00 - 09:00,5,5,13,6,10,3,1
09:00 - 10:00,8,3,18,8,3,2,4
10:00 - 11:00,11,10,13,12,14,3,3
11:00 - 12:00,7,9,31,12,15,8,8
12:00 - 13:00,17,12,20,13,17,1,3
13:00 - 14:00,16,19,19,10,17,6,1
14:00 - 15:00,10,11,11,14,16,12,5
15:00 - 16:00,23,23,22,17,15,5,4
16:00 - 17:00,16,35,25,23,19,8,5
17:00 - 18:00,21,26,25,20,26,7,1
18:00 - 19:00,20,18,30,24,21,6,5
19:00 - 20:00,23,29,16,16,16,4,5
20:00 - 21:00,17,14,16,14,16,9,5
21:00 - 22:00,24,29,20,18,21,7,6
22:00 - 23:00,16,25,20,27,14,5,3
23:00 - 00:00,19,21,41,23,17,8,8
