 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.47,0.0,1.86,2.33,1.4,2.79,1.4
01:00 - 02:00,0.0,1.4,0.93,0.93,0.93,2.33,0.0
02:00 - 03:00,0.0,1.4,0.0,0.0,1.86,1.86,0.0
03:00 - 04:00,0.0,0.47,0.0,0.47,0.93,0.47,0.93
04:00 - 05:00,0.0,0.93,0.47,0.47,0.0,0.47,0.0
05:00 - 06:00,0.0,0.47,0.47,0.0,1.4,2.33,0.0
06:00 - 07:00,0.0,0.47,0.47,0.0,0.47,0.0,0.47
07:00 - 08:00,0.0,0.0,0.0,0.47,0.0,0.93,0.47
08:00 - 09:00,0.0,0.0,0.0,0.47,0.0,0.0,0.0
09:00 - 10:00,0.0,0.0,0.0,1.86,0.0,0.47,0.0
10:00 - 11:00,0.47,0.0,0.0,0.0,0.0,0.0,0.47
11:00 - 12:00,0.0,2.33,0.93,1.86,0.0,0.0,0.0
12:00 - 13:00,0.0,0.93,0.47,0.47,0.0,0.47,0.0
13:00 - 14:00,0.0,0.0,0.0,0.0,0.47,0.0,0.0
14:00 - 15:00,0.47,0.0,0.93,0.47,0.47,0.0,0.0
15:00 - 16:00,0.47,0.47,0.0,0.0,0.47,0.0,0.47
16:00 - 17:00,0.0,0.47,0.0,3.72,1.86,0.47,0.47
17:00 - 18:00,0.0,0.93,0.0,1.4,1.86,1.4,1.4
18:00 - 19:00,0.93,0.93,0.47,1.86,0.47,0.0,0.0
19:00 - 20:00,0.0,1.4,1.4,0.0,0.47,0.0,0.47
20:00 - 21:00,1.4,1.4,0.47,0.47,0.0,0.0,0.0
21:00 - 22:00,0.47,0.0,1.4,0.0,0.47,0.93,0.0
22:00 - 23:00,0.47,1.4,1.4,1.4,1.4,1.86,0.47
23:00 - 00:00,1.4,0.93,1.4,3.26,2.33,0.93,0.47
