 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.18,5.82,3.58,1.16,0.81,2.33,0.18
01:00 - 02:00,0.09,4.21,2.24,1.52,1.52,1.07,0.27
02:00 - 03:00,0.0,1.88,0.27,0.98,0.54,1.25,0.0
03:00 - 04:00,0.0,1.61,0.63,0.63,1.07,0.98,0.09
04:00 - 05:00,0.36,1.7,0.81,1.25,0.98,0.45,0.36
05:00 - 06:00,0.18,0.63,0.9,2.15,1.61,0.63,0.09
06:00 - 07:00,0.09,0.72,0.63,0.36,1.43,0.18,0.09
07:00 - 08:00,0.09,2.42,0.09,0.36,0.54,0.36,0.0
08:00 - 09:00,0.0,0.36,0.09,0.27,0.0,0.27,0.0
09:00 - 10:00,0.09,0.27,0.09,0.0,0.18,0.36,0.0
10:00 - 11:00,0.0,0.09,0.09,0.27,0.09,0.18,0.0
11:00 - 12:00,0.0,0.63,0.09,0.27,0.36,0.18,0.09
12:00 - 13:00,0.0,1.25,0.09,0.98,0.09,0.0,0.0
13:00 - 14:00,0.0,0.9,0.18,0.45,0.18,0.09,0.0
14:00 - 15:00,0.0,0.54,0.09,0.27,0.18,0.0,0.0
15:00 - 16:00,0.09,0.09,0.0,0.27,0.36,0.0,0.0
16:00 - 17:00,0.09,0.09,0.0,0.45,0.0,0.09,0.0
17:00 - 18:00,0.45,0.81,0.45,0.36,0.45,0.09,0.0
18:00 - 19:00,0.63,0.27,0.09,0.54,0.0,0.0,0.0
19:00 - 20:00,0.36,0.72,0.18,0.18,0.09,0.0,0.0
20:00 - 21:00,0.09,1.25,0.18,0.98,1.88,0.0,0.0
21:00 - 22:00,1.43,0.54,0.81,0.36,0.72,0.09,0.09
22:00 - 23:00,1.79,1.79,2.86,1.25,0.98,0.18,0.0
23:00 - 00:00,3.22,3.49,2.6,0.98,1.07,0.18,0.09
