 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.67,0.0,0.0,0.0
08:00 - 09:00,0.67,0.67,0.0,1.34,0.0,0.0,0.0
09:00 - 10:00,0.0,1.34,0.67,1.34,2.68,0.0,0.0
10:00 - 11:00,3.36,0.67,4.03,2.01,5.37,0.0,0.0
11:00 - 12:00,2.68,0.67,1.34,3.36,8.05,0.0,0.0
12:00 - 13:00,0.67,0.0,1.34,6.04,3.36,0.0,0.0
13:00 - 14:00,2.01,0.0,1.34,3.36,2.01,0.0,0.0
14:00 - 15:00,6.04,0.0,0.67,2.68,4.03,0.0,0.0
15:00 - 16:00,0.0,1.34,0.67,2.68,3.36,0.0,0.0
16:00 - 17:00,2.01,0.67,1.34,7.38,0.67,0.0,0.0
17:00 - 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,2.01,0.0,0.0,0.0,0.0
21:00 - 22:00,0.67,0.0,0.67,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,2.01,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
