 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.27,0.33,0.62,0.06,0.12,0.0,0.0
01:00 - 02:00,0.03,0.0,0.06,0.06,0.0,0.0,0.0
02:00 - 03:00,0.0,0.03,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.09,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.06,0.0,0.0,0.0
07:00 - 08:00,1.46,2.47,0.59,0.77,1.16,0.0,0.06
08:00 - 09:00,1.28,1.58,1.31,1.81,2.2,0.0,0.0
09:00 - 10:00,2.59,3.36,2.2,3.12,2.02,0.0,0.06
10:00 - 11:00,1.61,1.52,2.29,2.77,2.38,0.0,0.0
11:00 - 12:00,1.61,2.47,1.99,2.29,1.43,0.03,0.0
12:00 - 13:00,1.28,1.78,0.74,1.64,1.07,0.0,0.0
13:00 - 14:00,2.26,1.72,1.61,1.87,2.2,0.0,0.0
14:00 - 15:00,1.78,2.2,2.08,1.99,1.55,0.03,0.0
15:00 - 16:00,1.28,1.72,1.34,1.72,2.17,0.0,0.15
16:00 - 17:00,0.77,1.31,1.19,1.34,0.89,0.0,0.0
17:00 - 18:00,0.95,0.42,0.48,0.51,0.27,0.0,0.0
18:00 - 19:00,0.06,0.15,0.42,0.09,0.18,0.0,0.0
19:00 - 20:00,0.33,0.12,0.06,0.03,0.15,0.0,0.3
20:00 - 21:00,0.0,0.09,0.27,0.06,0.06,0.0,0.71
21:00 - 22:00,0.15,0.09,0.42,0.06,0.03,0.03,0.36
22:00 - 23:00,0.86,0.03,0.33,0.21,0.0,0.12,0.24
23:00 - 00:00,0.48,0.45,0.39,0.12,0.0,0.03,0.12
