 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,0,0,4,0,0,0,0
08:00 - 09:00,9,0,7,1,7,0,0
09:00 - 10:00,20,4,23,10,14,0,0
10:00 - 11:00,30,15,16,5,11,0,0
11:00 - 12:00,4,83,1,5,7,0,0
12:00 - 13:00,6,1,7,10,11,0,0
13:00 - 14:00,23,8,4,9,16,0,1
14:00 - 15:00,11,11,13,17,15,0,4
15:00 - 16:00,19,4,4,6,3,0,0
16:00 - 17:00,75,0,3,12,14,0,0
17:00 - 18:00,3,2,7,6,10,0,0
18:00 - 19:00,9,15,8,5,2,0,0
19:00 - 20:00,1,10,4,0,0,0,0
20:00 - 21:00,51,10,38,0,0,0,0
21:00 - 22:00,10,0,0,0,5,0,0
22:00 - 23:00,3,0,1,14,0,0,25
23:00 - 00:00,0,0,0,0,0,0,0
